timestamp,bridge,entries_count,mac,port,vlan,age,note
2026-09-02T16:19:39,B1,0,,,,,no_entries
2026-09-02T16:19:39,B2,0,,,,,no_entries
2026-09-02T16:19:39,B3,0,,,,,no_entries
2026-09-02T16:19:40,B1,0,,,,,no_entries
2026-09-02T16:19:40,B2,0,,,,,no_entries
2026-09-02T16:19:40,B3,0,,,,,no_entries
2026-09-02T16:19:41,B1,0,,,,,no_entries
2026-09-02T16:19:41,B2,0,,,,,no_entries
2026-09-02T16:19:41,B3,0,,,,,no_entries
2026-09-02T16:19:42,B1,0,,,,,no_entries
2026-09-02T16:19:42,B2,0,,,,,no_entries
2026-09-02T16:19:42,B3,0,,,,,no_entries
2026-09-02T16:19:43,B1,0,,,,,no_entries
2026-09-02T16:19:43,B2,0,,,,,no_entries
2026-09-02T16:19:43,B3,0,,,,,no_entries
2026-09-02T16:19:44,B1,2,aa:aa:aa:11:11:11,1,0,1,
2026-09-02T16:19:44,B1,2,aa:aa:aa:22:22:22,2,0,1,
2026-09-02T16:19:44,B2,2,aa:aa:aa:11:11:11,2,0,1,
2026-09-02T16:19:44,B2,2,aa:aa:aa:22:22:22,1,0,1,
2026-09-02T16:19:44,B3,1,aa:aa:aa:11:11:11,3,0,1,
2026-09-02T16:19:45,B1,2,aa:aa:aa:22:22:22,2,0,0,
2026-09-02T16:19:45,B1,2,aa:aa:aa:11:11:11,1,0,0,
2026-09-02T16:19:45,B2,2,aa:aa:aa:11:11:11,2,0,0,
2026-09-02T16:19:45,B2,2,aa:aa:aa:22:22:22,1,0,0,
2026-09-02T16:19:45,B3,1,aa:aa:aa:11:11:11,3,0,2,
2026-09-02T16:19:47,B1,2,aa:aa:aa:22:22:22,2,0,1,
2026-09-02T16:19:47,B1,2,aa:aa:aa:11:11:11,1,0,1,
2026-09-02T16:19:47,B2,2,aa:aa:aa:11:11:11,2,0,1,
2026-09-02T16:19:47,B2,2,aa:aa:aa:22:22:22,1,0,1,
2026-09-02T16:19:47,B3,1,aa:aa:aa:11:11:11,3,0,4,
2026-09-02T16:19:48,B1,2,aa:aa:aa:22:22:22,2,0,2,
2026-09-02T16:19:48,B1,2,aa:aa:aa:11:11:11,1,0,2,
2026-09-02T16:19:48,B2,2,aa:aa:aa:11:11:11,2,0,2,
2026-09-02T16:19:48,B2,2,aa:aa:aa:22:22:22,1,0,2,
2026-09-02T16:19:48,B3,1,aa:aa:aa:11:11:11,3,0,5,
2026-09-02T16:19:49,B1,2,aa:aa:aa:11:11:11,1,0,0,
2026-09-02T16:19:49,B1,2,aa:aa:aa:22:22:22,2,0,0,
2026-09-02T16:19:49,B2,2,aa:aa:aa:22:22:22,1,0,0,
2026-09-02T16:19:49,B2,2,aa:aa:aa:11:11:11,2,0,0,
2026-09-02T16:19:49,B3,1,aa:aa:aa:11:11:11,3,0,6,
2026-09-02T16:19:50,B1,2,aa:aa:aa:11:11:11,1,0,1,
2026-09-02T16:19:50,B1,2,aa:aa:aa:22:22:22,2,0,1,
2026-09-02T16:19:50,B2,2,aa:aa:aa:22:22:22,1,0,1,
2026-09-02T16:19:50,B2,2,aa:aa:aa:11:11:11,2,0,1,
2026-09-02T16:19:50,B3,1,aa:aa:aa:11:11:11,3,0,7,
2026-09-02T16:19:51,B1,2,aa:aa:aa:11:11:11,1,0,2,
2026-09-02T16:19:51,B1,2,aa:aa:aa:22:22:22,2,0,2,
2026-09-02T16:19:51,B2,2,aa:aa:aa:22:22:22,1,0,2,
2026-09-02T16:19:51,B2,2,aa:aa:aa:11:11:11,2,0,2,
2026-09-02T16:19:51,B3,1,aa:aa:aa:11:11:11,3,0,8,
2026-09-02T16:19:52,B1,2,aa:aa:aa:11:11:11,1,0,3,
2026-09-02T16:19:52,B1,2,aa:aa:aa:22:22:22,2,0,3,
2026-09-02T16:19:52,B2,2,aa:aa:aa:22:22:22,1,0,3,
2026-09-02T16:19:52,B2,2,aa:aa:aa:11:11:11,2,0,3,
2026-09-02T16:19:52,B3,1,aa:aa:aa:11:11:11,3,0,9,
2026-09-02T16:19:53,B1,2,aa:aa:aa:11:11:11,1,0,4,
2026-09-02T16:19:53,B1,2,aa:aa:aa:22:22:22,2,0,4,
2026-09-02T16:19:53,B2,2,aa:aa:aa:22:22:22,1,0,4,
2026-09-02T16:19:53,B2,2,aa:aa:aa:11:11:11,2,0,4,
2026-09-02T16:19:53,B3,1,aa:aa:aa:11:11:11,3,0,10,
2026-09-02T16:19:55,B1,2,aa:aa:aa:11:11:11,1,0,6,
2026-09-02T16:19:55,B1,2,aa:aa:aa:22:22:22,2,0,6,
2026-09-02T16:19:55,B2,2,aa:aa:aa:22:22:22,1,0,6,
2026-09-02T16:19:55,B2,2,aa:aa:aa:11:11:11,2,0,6,
2026-09-02T16:19:55,B3,1,aa:aa:aa:11:11:11,3,0,12,
2026-09-02T16:19:56,B1,2,aa:aa:aa:22:22:22,2,0,7,
2026-09-02T16:19:56,B1,2,aa:aa:aa:11:11:11,1,0,0,
2026-09-02T16:19:56,B2,2,aa:aa:aa:22:22:22,1,0,7,
2026-09-02T16:19:56,B2,2,aa:aa:aa:11:11:11,2,0,7,
2026-09-02T16:19:56,B3,1,aa:aa:aa:11:11:11,3,0,13,
2026-09-02T16:19:57,B1,2,aa:aa:aa:22:22:22,2,0,8,
2026-09-02T16:19:57,B1,2,aa:aa:aa:11:11:11,1,0,1,
2026-09-02T16:19:57,B2,2,aa:aa:aa:22:22:22,1,0,8,
2026-09-02T16:19:57,B2,2,aa:aa:aa:11:11:11,2,0,8,
2026-09-02T16:19:57,B3,1,aa:aa:aa:11:11:11,3,0,14,
2026-09-02T16:19:58,B1,2,aa:aa:aa:22:22:22,2,0,9,
2026-09-02T16:19:58,B1,2,aa:aa:aa:11:11:11,1,0,1,
2026-09-02T16:19:58,B2,2,aa:aa:aa:22:22:22,1,0,9,
2026-09-02T16:19:58,B2,2,aa:aa:aa:11:11:11,2,0,9,
2026-09-02T16:19:58,B3,1,aa:aa:aa:11:11:11,3,0,15,
2026-09-02T16:19:59,B1,2,aa:aa:aa:22:22:22,2,0,10,
2026-09-02T16:19:59,B1,2,aa:aa:aa:11:11:11,1,0,1,
2026-09-02T16:19:59,B2,2,aa:aa:aa:22:22:22,1,0,10,
2026-09-02T16:19:59,B2,2,aa:aa:aa:11:11:11,2,0,10,
2026-09-02T16:19:59,B3,1,aa:aa:aa:11:11:11,3,0,16,
2026-09-02T16:20:00,B1,2,aa:aa:aa:22:22:22,2,0,11,
2026-09-02T16:20:00,B1,2,aa:aa:aa:11:11:11,1,0,2,
2026-09-02T16:20:00,B2,2,aa:aa:aa:22:22:22,1,0,11,
2026-09-02T16:20:00,B2,2,aa:aa:aa:11:11:11,2,0,11,
2026-09-02T16:20:00,B3,1,aa:aa:aa:11:11:11,3,0,17,
2026-09-02T16:20:01,B1,2,aa:aa:aa:22:22:22,2,0,12,
2026-09-02T16:20:01,B1,2,aa:aa:aa:11:11:11,1,0,3,
2026-09-02T16:20:01,B2,2,aa:aa:aa:22:22:22,1,0,12,
2026-09-02T16:20:01,B2,2,aa:aa:aa:11:11:11,2,0,12,
2026-09-02T16:20:01,B3,1,aa:aa:aa:11:11:11,3,0,18,
2026-09-02T16:20:03,B1,2,aa:aa:aa:22:22:22,2,0,13,
2026-09-02T16:20:03,B1,2,aa:aa:aa:11:11:11,1,0,4,
2026-09-02T16:20:03,B2,2,aa:aa:aa:22:22:22,1,0,14,
2026-09-02T16:20:03,B2,2,aa:aa:aa:11:11:11,2,0,14,
2026-09-02T16:20:03,B3,1,aa:aa:aa:11:11:11,3,0,20,
2026-09-02T16:20:04,B1,2,aa:aa:aa:22:22:22,2,0,15,
2026-09-02T16:20:04,B1,2,aa:aa:aa:11:11:11,1,0,6,
2026-09-02T16:20:04,B2,2,aa:aa:aa:22:22:22,1,0,15,
2026-09-02T16:20:04,B2,2,aa:aa:aa:11:11:11,2,0,15,
2026-09-02T16:20:04,B3,1,aa:aa:aa:11:11:11,3,0,21,
2026-09-02T16:20:05,B1,2,aa:aa:aa:22:22:22,2,0,16,
2026-09-02T16:20:05,B1,2,aa:aa:aa:11:11:11,1,0,7,
2026-09-02T16:20:05,B2,2,aa:aa:aa:22:22:22,1,0,16,
2026-09-02T16:20:05,B2,2,aa:aa:aa:11:11:11,2,0,16,
2026-09-02T16:20:05,B3,1,aa:aa:aa:11:11:11,3,0,22,
2026-09-02T16:20:06,B1,2,aa:aa:aa:22:22:22,2,0,17,
2026-09-02T16:20:06,B1,2,aa:aa:aa:11:11:11,1,0,8,
2026-09-02T16:20:06,B2,2,aa:aa:aa:22:22:22,1,0,17,
2026-09-02T16:20:06,B2,2,aa:aa:aa:11:11:11,2,0,17,
2026-09-02T16:20:06,B3,1,aa:aa:aa:11:11:11,3,0,23,
2026-09-02T16:20:07,B1,2,aa:aa:aa:22:22:22,2,0,18,
2026-09-02T16:20:07,B1,2,aa:aa:aa:11:11:11,1,0,9,
2026-09-02T16:20:07,B2,2,aa:aa:aa:22:22:22,1,0,18,
2026-09-02T16:20:07,B2,2,aa:aa:aa:11:11:11,2,0,18,
2026-09-02T16:20:07,B3,1,aa:aa:aa:11:11:11,3,0,24,
